year month birth  
   34  4  5623
   34  5  5718
   34  6  5494
   34  7  5347
   34  8  5385
   34  9  5188
   34 10  5138
   34 11  5096
   34 12  5264
   35  1  5503
   35  2  5472
   35  3  6191
   35  4  5885
   35  5  5723
   35  6  5427
   35  7  5443
   35  8  5485
   35  9  5195
   35 10  5143
   35 11  4837
   35 12  4919
   36  1  5213
   36  2  5474
   36  3  6231
   36  4  5873
   36  5  6140
   36  6  5559
   36  7  5491
   36  8  5579
   36  9  5572
   36 10  5178
   36 11  5057
   36 12  5111
   37  1  5349
   37  2  5279
   37  3  6206
   37  4  6231
   37  5  6258
   37  6  5652
   37  7  5858
   37  8  5537
   37  9  5185
   37 10  5094
   37 11  5187
   37 12  5604
   38  1  5681
   38  2  5588
   38  3  6428
   38  4  6094
   38  5  6220
   38  6  5613
   38  7  5644
   38  8  5696
   38  9  5573
   38 10  5260
   38 11  5204
   38 12  5461
   39  1  5554
   39  2  5210
   39  3  6279
   39  4  6177
   39  5  6153
   39  6  5669
   39  7  5762
   39  8  5521
   39  9  5563
   39 10  5444
   39 11  5165
   39 12  5417
   40  1  5847
   40  2  6093
   40  3  6556
   40  4  6290
   40  5  6151
   40  6  5560
   40  7  5842
   40  8  5898
   40  9  5741
   40 10  5587
   40 11  5381
   40 12  5175
   41  1  5320
   41  2  5602
   41  3  6520
   41  4  6334
   41  5  6465
   41  6  5909
   41  7  6166
   41  8  6103
   41  9  6003
   41 10  5842
   41 11  5525
   41 12  5517
   42  1  5886
   42  2  6108
   42  3  7139
   42  4  6958
   42  5  7232
   42  6  6727
   42  7  6730
   42  8  7016
   42  9  6844
   42 10  6435
   42 11  6126
   42 12  6344
   43  1  6573
   43  2  6414
   43  3  7535
   43  4  7580
   43  5  7609
   43  6  6736
   43  7  7258
   43  8  7170
   43  9  7050
   43 10  6790
   43 11  6544
   43 12  7060
   44  1  7426
   44  2  7293
   44  3  8292
   44  4  8065
   44  5  7859
   44  6  7342
   44  7  7582
   44  8  7674
   44  9  7530
   44 10  7117
   44 11  7108
   44 12  7353
   45  1  7848
   45  2  7518
   45  3  8734
   45  4  8539
   45  5  8551
   45  6  7610
   45  7  8019
   45  8  7952
   45  9  7800
   45 10  7602
   45 11  7291
   45 12  7598
